frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13588","Jul  4, 2024 10:45:14.123666646 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13589","Jul  4, 2024 10:45:14.129321388 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13590","Jul  4, 2024 10:45:14.129321988 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13591","Jul  4, 2024 10:45:14.129322088 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13592","Jul  4, 2024 10:45:14.129375389 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13593","Jul  4, 2024 10:45:14.129398689 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13594","Jul  4, 2024 10:45:14.130009993 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13595","Jul  4, 2024 10:45:14.135094631 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13596","Jul  4, 2024 10:45:14.135095531 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13597","Jul  4, 2024 10:45:14.135095631 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13598","Jul  4, 2024 10:45:14.135155332 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13599","Jul  4, 2024 10:45:14.135179532 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13600","Jul  4, 2024 10:45:14.135668235 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13601","Jul  4, 2024 10:45:14.135688335 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"13602","Jul  4, 2024 10:45:14.141081475 CEST","10.22.255.154","172.24.204.146","6","52","66"
